Coach,School,Conference,Season Wins,Season Losses,Season W-L%,AP Pre,AP Post,NCAA Tournament,Since,School Wins,School Losses,School W-L%,School NCAA,School S16,School FF,School Chmp,Career Wins,Career Losses,Career W-L%,Career NCAA,Career S16,Career FF,Career Chmp
Tim O'Shea,Ohio,MAC,21.0,11.0,0.656,,,Lost First Round,2001-02,62.0,58.0,0.517,1.0,,,,62,58,0.517,1.0,,,
Tim O'Toole,Fairfield,MAAC,15.0,15.0,0.5,,,,1998-99,103.0,101.0,0.505,,,,,103,101,0.505,,,,
Dave Odom,South Carolina,SEC,20.0,13.0,0.606,,,,2001-02,77.0,55.0,0.583,1.0,,,,354,230,0.606,9.0,3.0,,
Doug Oliver,Idaho State,Big Sky,9.0,18.0,0.333,,,,1998-99,75.0,120.0,0.385,,,,,75,120,0.385,,,,
Lute Olson,Arizona,Pac-10,30.0,7.0,0.811,10.0,9.0,Lost Regional Final,1983-84,547.0,166.0,0.767,21.0,11.0,4.0,1.0,736,261,0.738,26.0,13.0,5.0,1.0
Louis Orr,Seton Hall,Big East,12.0,16.0,0.429,,,,2001-02,62.0,57.0,0.521,1.0,,,,82,68,0.547,1.0,,,
Jimmy Patsos,Loyola (MD),MAAC,6.0,22.0,0.214,,,,2004-05,6.0,22.0,0.214,,,,,6,22,0.214,,,,
Ricardo Patton,Colorado,Big 12,14.0,16.0,0.467,,,,1995-96,157.0,130.0,0.547,2.0,,,,157,130,0.547,2.0,,,
Bruce Pearl,Milwaukee,Horizon,26.0,6.0,0.812,,,Lost Regional Semifinal,2001-02,86.0,38.0,0.694,2.0,1.0,,,86,38,0.694,2.0,1.0,,
Joe Pechota,Purdue Fort Wayne,Ind,4.0,9.0,0.308,,,,2004-05,4.0,9.0,0.308,,,,,4,9,0.308,,,,
Tom Pecora,Hofstra,CAA,21.0,9.0,0.7,,,,2001-02,55.0,65.0,0.458,,,,,55,65,0.458,,,,
John Pelphrey,South Alabama,Sun Belt,10.0,18.0,0.357,,,,2002-03,36.0,48.0,0.429,,,,,36,48,0.429,,,,
Tommy Penders,Houston,CUSA,18.0,14.0,0.562,,,,2004-05,18.0,14.0,0.562,,,,,491,357,0.579,10.0,3.0,,
Leonard Perry,Idaho,Big West,8.0,22.0,0.267,,,,2001-02,44.0,72.0,0.379,,,,,44,72,0.379,,,,
Michael Perry,Georgia State,A-Sun,14.0,15.0,0.483,,,,2002-03,44.0,33.0,0.571,,,,,44,33,0.571,,,,
Buzz Peterson,Tennessee,SEC,14.0,17.0,0.452,,,,2001-02,61.0,59.0,0.508,,,,,166,109,0.604,1.0,,,
Vann Pettaway,Alabama A&M,SWAC,18.0,14.0,0.562,,,Lost Opening Round,1998-99,103.0,98.0,0.512,1.0,,,,103,98,0.512,1.0,,,
John Phillips,Tulsa,WAC,2.0,5.0,0.286,,,,2001-02,61.0,42.0,0.592,2.0,,,,61,42,0.592,2.0,,,
J.P. Piper,Nicholls State,Southland,6.0,21.0,0.222,,,,2004-05,6.0,21.0,0.222,,,,,6,21,0.222,,,,
Rick Pitino,Louisville,CUSA,33.0,5.0,0.868,14.0,4.0,Lost National Semifinal,2001-02,97.0,35.0,0.735,3.0,1.0,1.0,,451,163,0.735,11.0,7.0,5.0,1.0
Jim Platt,Charleston Southern,Big South,13.0,17.0,0.433,,,,2000-01,55.0,89.0,0.382,,,,,110,149,0.425,,,,
Jeff Price,Georgia Southern,Southern,18.0,13.0,0.581,,,,1999-00,102.0,73.0,0.583,,,,,102,73,0.583,,,,
Tic Price,McNeese State,Southland,13.0,15.0,0.464,,,,2001-02,60.0,54.0,0.526,1.0,,,,153,108,0.586,2.0,,,
Skip Prosser,Wake Forest,ACC,27.0,6.0,0.818,2.0,5.0,Lost Second Round,2001-02,94.0,35.0,0.729,4.0,1.0,,,259,113,0.696,9.0,1.0,,
Oliver Purnell,Clemson,ACC,16.0,16.0,0.5,,,,2003-04,26.0,34.0,0.433,,,,,282,225,0.556,3.0,,,
Craig Rasmuson,Northern Colorado,Ind,8.0,21.0,0.276,,,,2004-05,8.0,21.0,0.276,,,,,8,21,0.276,,,,
Duane Reboul,Birmingham-Southern,Big South,16.0,14.0,0.533,,,,2002-03,55.0,30.0,0.647,,,,,55,30,0.647,,,,
Clifford Reed,Bethune-Cookman,MEAC,13.0,17.0,0.433,,,,2001-02,35.0,65.0,0.35,,,,,35,65,0.35,,,,
Larry Reynolds,Long Beach State,Big West,10.0,20.0,0.333,,,,2002-03,21.0,63.0,0.25,,,,,21,63,0.25,,,,
Keith Richard,Louisiana Tech,WAC,14.0,15.0,0.483,,,,1998-99,120.0,84.0,0.588,,,,,120,84,0.588,,,,
Norm Roberts,St. John's (NY),Big East,9.0,18.0,0.333,,,,2004-05,9.0,18.0,0.333,,,,,9,18,0.333,,,,
John Robic,Youngstown State,Horizon,5.0,23.0,0.179,,,,1999-00,58.0,113.0,0.339,,,,,58,113,0.339,,,,
Lorenzo Romar,Washington,Pac-10,29.0,6.0,0.829,22.0,8.0,Lost Regional Semifinal,2002-03,58.0,35.0,0.624,2.0,1.0,,,151,123,0.551,3.0,1.0,,
Sergio Rouco ,Florida International,Sun Belt,13.0,17.0,0.433,,,,2004-05,13.0,17.0,0.433,,,,,13,17,0.433,,,,
Phil Rowe,New Hampshire,AEC,9.0,19.0,0.321,,,,1999-00,45.0,125.0,0.265,,,,,45,125,0.265,,,,
Jeff Ruland,Iona,MAAC,15.0,16.0,0.484,,,,1998-99,114.0,99.0,0.535,2.0,,,,114,99,0.535,2.0,,,
Bo Ryan,Wisconsin,Big Ten,25.0,9.0,0.735,21.0,20.0,Lost Regional Final,2001-02,93.0,37.0,0.715,4.0,2.0,,,123,64,0.658,4.0,2.0,,
Doc Sadler,UTEP,WAC,27.0,8.0,0.771,,,Lost First Round,2004-05,27.0,8.0,0.771,1.0,,,,27,8,0.771,1.0,,,
Jim Saia,USC,Pac-10,10.0,15.0,0.4,,,,2004-05,10.0,15.0,0.4,,,,,10,15,0.4,,,,
Kelvin Sampson,Oklahoma,Big 12,25.0,8.0,0.758,,17.0,Lost Second Round,1994-95,259.0,100.0,0.721,10.0,3.0,1.0,,362,203,0.641,11.0,3.0,1.0,
Byron Samuels,Radford,Big South,12.0,16.0,0.429,,,,2002-03,34.0,52.0,0.395,,,,,51,88,0.367,,,,
Rick Samuels,Eastern Illinois,OVC,12.0,16.0,0.429,,,,1981-82,344.0,349.0,0.496,2.0,,,,347,355,0.494,2.0,,,
Scott Sanderson,Lipscomb,A-Sun,16.0,12.0,0.571,,,,2002-03,31.0,53.0,0.369,,,,,31,53,0.369,,,,
Mark Schmidt,Robert Morris,NEC,14.0,15.0,0.483,,,,2001-02,50.0,65.0,0.435,,,,,50,65,0.435,,,,
Heath Schroyer,Portland State,Big Sky,19.0,9.0,0.679,,,,2002-03,35.0,47.0,0.427,,,,,35,47,0.427,,,,
Joe Scott,Princeton,Ivy,15.0,13.0,0.536,,,,2004-05,15.0,13.0,0.536,,,,,66,76,0.465,1.0,,,
Rick Scruggs,Gardner-Webb,A-Sun,18.0,12.0,0.6,,,,2002-03,32.0,56.0,0.364,,,,,32,56,0.364,,,,
Bill Self,Kansas,Big 12,23.0,7.0,0.767,1.0,12.0,Lost First Round,2003-04,47.0,16.0,0.746,2.0,1.0,,,254,121,0.677,7.0,4.0,,
Herb Sendek,NC State,ACC,21.0,14.0,0.6,19.0,,Lost Regional Semifinal,1996-97,169.0,122.0,0.581,4.0,1.0,,,232,148,0.611,5.0,1.0,,
Tony Shaver,William & Mary,CAA,8.0,21.0,0.276,,,,2003-04,15.0,42.0,0.263,,,,,15,42,0.263,,,,
Steve Shields,Little Rock,Sun Belt,18.0,10.0,0.643,,,,2003-04,35.0,22.0,0.614,,,,,35,22,0.614,,,,
John Shulman,Chattanooga,Southern,20.0,11.0,0.645,,,Lost First Round,2004-05,20.0,11.0,0.645,1.0,,,,20,11,0.645,1.0,,,
Steve Shurina,Western Carolina,Southern,8.0,22.0,0.267,,,,2000-01,48.0,97.0,0.331,,,,,48,97,0.331,,,,
Al Skinner Jr,Boston College,Big East,25.0,5.0,0.833,,14.0,Lost Second Round,1997-98,147.0,100.0,0.595,4.0,,,,285,226,0.558,6.0,,,
Mark Slonaker,Mercer,A-Sun,16.0,12.0,0.571,,,,1997-98,95.0,134.0,0.415,,,,,96,158,0.378,,,,
Jay Smith,Central Michigan,MAC,10.0,18.0,0.357,,,,1997-98,91.0,136.0,0.401,1.0,,,,91,136,0.401,1.0,,,
Tubby Smith,Kentucky,SEC,28.0,6.0,0.824,9.0,7.0,Lost Regional Final,1997-98,219.0,58.0,0.791,8.0,6.0,1.0,1.0,343,120,0.741,12.0,9.0,1.0,1.0
Quin Snyder,Missouri,Big 12,16.0,17.0,0.485,,,,1999-00,116.0,80.0,0.592,4.0,1.0,,,116,80,0.592,4.0,1.0,,
Brad Soderberg,Saint Louis,CUSA,9.0,21.0,0.3,,,,2002-03,44.0,48.0,0.478,,,,,60,58,0.508,1.0,,,
Anthony Solomon,St. Bonaventure,A-10,2.0,26.0,0.071,,,,2003-04,9.0,47.0,0.161,,,,,9,47,0.161,,,,
Kirk Speraw,UCF,A-Sun,24.0,9.0,0.727,,,Lost First Round,1993-94,195.0,163.0,0.545,4.0,,,,195,163,0.545,4.0,,,
Rob Spivery,Alabama State,SWAC,15.0,15.0,0.5,,,,1996-97,129.0,136.0,0.487,2.0,,,,129,136,0.487,2.0,,,
Kevin Stallings,Vanderbilt,SEC,20.0,14.0,0.588,,,,1999-00,105.0,83.0,0.559,1.0,1.0,,,228,146,0.61,3.0,1.0,,
Rick Stansbury,Mississippi State,SEC,23.0,11.0,0.676,12.0,,Lost Second Round,1998-99,149.0,75.0,0.665,4.0,,,,149,75,0.665,4.0,,,
Gary Stewart,UC-Davis,Ind,11.0,17.0,0.393,,,,2004-05,11.0,17.0,0.393,,,,,11,17,0.393,,,,
Lafayette Stribling,Mississippi Valley State,SWAC,13.0,15.0,0.464,,,,1983-84,305.0,318.0,0.49,3.0,,,,305,318,0.49,3.0,,,
Pete Strickland,Coastal Carolina,Big South,10.0,19.0,0.345,,,,1998-99,70.0,127.0,0.355,,,,,70,127,0.355,,,,
Tony Stubblefield,New Mexico State,Sun Belt,2.0,12.0,0.143,,,,2004-05,2.0,12.0,0.143,,,,,2,12,0.143,,,,
Frank Sullivan,Harvard,Ivy,12.0,15.0,0.444,,,,1991-92,153.0,215.0,0.416,,,,,153,215,0.416,,,,
Eddie Sutton,Oklahoma State,Big 12,26.0,7.0,0.788,7.0,6.0,Lost Regional Semifinal,1990-91,351.0,135.0,0.722,13.0,6.0,2.0,,783,300,0.723,26.0,13.0,3.0,
Mike Sutton,Tennessee Tech,OVC,18.0,11.0,0.621,,,,2002-03,51.0,38.0,0.573,,,,,51,38,0.573,,,,
Scott Sutton,Oral Roberts,Mid-Cont,25.0,8.0,0.758,,,,1999-00,100.0,79.0,0.559,,,,,100,79,0.559,,,,
Billy Taylor,Lehigh,Patriot,14.0,15.0,0.483,,,,2002-03,50.0,38.0,0.568,1.0,,,,50,38,0.568,1.0,,,
Blaine Taylor,Old Dominion,CAA,28.0,6.0,0.824,,,Lost First Round,2001-02,70.0,49.0,0.588,1.0,,,,211,115,0.647,3.0,,,
Derek Thomas,Western Illinois,Mid-Cont,11.0,17.0,0.393,,,,2003-04,14.0,42.0,0.25,,,,,14,42,0.25,,,,
Bob Thomason,Pacific,Big West,27.0,4.0,0.871,,22.0,Lost Second Round,1988-89,286.0,213.0,0.573,3.0,,,,286,213,0.573,3.0,,,
John Thompson III,Georgetown,Big East,19.0,13.0,0.594,,,,2004-05,19.0,13.0,0.594,,,,,87,55,0.613,2.0,,,
Jimmy Tillette,Samford,OVC,15.0,13.0,0.536,,,,1997-98,129.0,102.0,0.558,2.0,,,,129,102,0.558,2.0,,,
Monte Towe,New Orleans,Sun Belt,13.0,17.0,0.433,,,,2001-02,60.0,59.0,0.504,,,,,60,59,0.504,,,,
Billy Tubbs,Lamar,Southland,18.0,11.0,0.621,,,,1976-77,104.0,75.0,0.581,2.0,2.0,,,592,303,0.661,12.0,6.0,1.0,
Jimmy Tubbs,SMU,WAC,14.0,14.0,0.5,,,,2004-05,14.0,14.0,0.5,,,,,14,14,0.5,,,,
Mark Turgeon,Wichita State,MVC,22.0,10.0,0.688,,,,2000-01,85.0,67.0,0.559,,,,,110,96,0.534,,,,
Mike Vining,Louisiana-Monroe,Southland,8.0,19.0,0.296,,,,1981-82,401.0,303.0,0.57,7.0,,,,401,303,0.57,7.0,,,
Jerry Wainwright,Richmond,A-10,14.0,15.0,0.483,,,,2002-03,49.0,42.0,0.538,1.0,,,,185,145,0.561,3.0,,,
Al Walker,Binghamton,AEC,12.0,17.0,0.414,,,,2001-02,49.0,65.0,0.43,,,,,76,116,0.396,,,,
Riley Wallace,Hawaii,WAC,16.0,13.0,0.552,,,,1987-88,299.0,241.0,0.554,3.0,,,,314,268,0.54,3.0,,,
Royce Waltman,Indiana State,MVC,11.0,20.0,0.355,,,,1997-98,108.0,130.0,0.454,2.0,,,,108,130,0.454,2.0,,,
Gary Waters,Rutgers,Big East,10.0,19.0,0.345,,,,2001-02,60.0,61.0,0.496,,,,,152,121,0.557,2.0,,,
Perry Watson,Detroit Mercy,Horizon,14.0,16.0,0.467,,,,1993-94,227.0,140.0,0.619,2.0,,,,227,140,0.619,2.0,,,
Derek Waugh,Stetson,A-Sun,10.0,17.0,0.37,,,,2000-01,56.0,80.0,0.412,,,,,56,80,0.412,,,,
Bruce Weber,Illinois,Big Ten,37.0,2.0,0.949,5.0,1.0,Lost National Final,2003-04,63.0,9.0,0.875,2.0,2.0,1.0,,166,63,0.725,4.0,3.0,1.0,
Tim Welsh,Providence,Big East,14.0,17.0,0.452,,,,1998-99,115.0,99.0,0.537,2.0,,,,185,121,0.605,3.0,,,
Samuel West,Alcorn State,SWAC,7.0,22.0,0.241,,,,2003-04,18.0,40.0,0.31,,,,,18,40,0.31,,,,
Paul Westphal,Pepperdine,WCC,17.0,14.0,0.548,,,,2001-02,69.0,52.0,0.57,1.0,,,,69,52,0.57,1.0,,,
Jim Whitesell,Loyola (IL),Horizon,13.0,17.0,0.433,,,,2004-05,13.0,17.0,0.433,,,,,13,17,0.433,,,,
Dereck Whittenburg,Fordham,A-10,13.0,16.0,0.448,,,,2003-04,19.0,38.0,0.333,,,,,86,88,0.494,1.0,,,
Ralph Willard,Holy Cross,Patriot,25.0,7.0,0.781,,,,1999-00,114.0,68.0,0.626,3.0,,,,258,192,0.573,5.0,1.0,,
Bob Williams,UCSB,Big West,11.0,18.0,0.379,,,,1998-99,107.0,97.0,0.525,1.0,,,,107,97,0.525,1.0,,,
Gary Williams,Maryland,ACC,19.0,13.0,0.594,15.0,,,1989-90,334.0,178.0,0.652,11.0,7.0,2.0,1.0,541,306,0.639,14.0,9.0,2.0,1.0
Roy Williams,UNC,ACC,33.0,4.0,0.892,4.0,2.0,Won National Final,2003-04,52.0,15.0,0.776,2.0,1.0,1.0,1.0,470,116,0.802,16.0,10.0,5.0,1.0
Pooh Williamson,Tulsa,WAC,7.0,15.0,0.318,,,,2004-05,7.0,15.0,0.318,,,,,7,15,0.318,,,,
Willis Wilson,Rice,WAC,19.0,12.0,0.613,,,,1992-93,187.0,188.0,0.499,,,,,187,188,0.499,,,,
Reggie Witherspoon,Buffalo,MAC,23.0,10.0,0.697,,,,1999-00,64.0,107.0,0.374,,,,,64,107,0.374,,,,
Dennis Wolff,Boston University,AEC,20.0,9.0,0.69,,,,1994-95,192.0,133.0,0.591,2.0,,,,192,133,0.591,2.0,,,
Ted Woodward,Maine,AEC,14.0,15.0,0.483,,,,2004-05,14.0,15.0,0.483,,,,,14,15,0.483,,,,
Jim Wooldridge,Kansas State,Big 12,17.0,12.0,0.586,,,,2000-01,68.0,77.0,0.469,,,,,166,176,0.485,1.0,,,
Jay Wright,Villanova,Big East,24.0,8.0,0.75,,19.0,Lost Regional Semifinal,2001-02,76.0,54.0,0.585,1.0,1.0,,,198,139,0.588,3.0,1.0,,
Larry Wright,Grambling,SWAC,14.0,12.0,0.538,,,,1999-00,55.0,115.0,0.324,,,,,55,115,0.324,,,,
Mike Young,Wofford,Southern,14.0,14.0,0.5,,,,2002-03,37.0,49.0,0.43,,,,,37,49,0.43,,,,
Rich Zvosec,Kansas City,Mid-Cont,16.0,12.0,0.571,,,,2001-02,58.0,57.0,0.504,,,,,96,105,0.478,,,,
