,,,,2004-05 Season,2004-05 Season,2004-05 Season,2004-05 Season,2004-05 Season,2004-05 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Mike Adras,Northern Arizona,Big Sky,,11,17,.393,,,,,1999-00,90,83,.520,1,,,,,90,83,.520,1,,,
Steve Aggers,Loyola Marymount,WCC,,11,17,.393,,,,,2000-01,55,90,.379,,,,,,106,172,.381,,,,
Cy Alexander,Tennessee State,OVC,,14,17,.452,,,,,2003-04,21,38,.356,,,,,,297,238,.555,5,,,
Steve Alford,Iowa,Big Ten,,21,12,.636,,,Lost First Round,,1999-00,110,83,.570,2,,,,,188,131,.589,3,1,,
Frankie Allen,Howard,MEAC,,5,23,.179,,,,,2000-01,52,93,.359,,,,,,223,294,.431,2,,,
Dana Altman,Creighton,MVC,,23,11,.676,,,Lost First Round,,1994-95,218,120,.645,6,,,,,301,187,.617,7,,,
Tommy Amaker,Michigan,Big Ten,,13,18,.419,,,,,2001-02,64,60,.516,,,,,,132,115,.534,1,1,,
Mike Anderson Sr,UAB,CUSA,,22,11,.667,,,Lost Second Round,,2002-03,65,34,.657,2,1,,,,65,34,.657,2,1,,
Tevester Anderson,Jackson State,SWAC,,15,17,.469,,,,,2003-04,27,34,.443,,,,,,130,86,.602,2,,,
Ronnie Arrow,Texas A&M-Corpus Christi,Ind,,20,8,.714,,,,,2002-03,49,34,.590,,,,,,163,127,.562,2,,,
Rick Barnes,Texas,Big 12,,20,11,.645,16,,Lost First Round,,1998-99,161,69,.700,7,3,1,,,363,203,.641,13,4,1,
Rod Barnes,Ole Miss,SEC,,14,17,.452,,,,,1998-99,127,93,.577,3,1,,,,127,93,.577,3,1,,
Jim Baron,Rhode Island,A-10,,6,22,.214,,,,,2001-02,53,68,.438,,,,,,259,270,.490,2,,,
Murry Bartow,ETSU,Southern,,10,19,.345,,,,,2003-04,37,25,.597,1,,,,,140,108,.565,2,,,
Butch Beard,Morgan State,MEAC,,14,16,.467,,,,,2001-02,35,79,.307,,,,,,80,148,.351,1,,,
John Beilein,West Virginia,Big East,,24,11,.686,,,Lost Regional Final,,2002-03,55,40,.579,1,1,,,,244,155,.612,3,1,,
Bart Bellairs,VMI,Big South,,9,18,.333,,,,,1994-95,116,191,.378,,,,,,116,191,.378,,,,
Dick Bennett,Washington State,Pac-10,,12,16,.429,,,,,2003-04,25,32,.439,,,,,,305,210,.592,7,1,1,
Randy Bennett,Saint Mary's,WCC,,25,9,.735,,,Lost First Round,,2001-02,68,56,.548,1,,,,,68,56,.548,1,,,
Ben Betts Jr,South Carolina State,MEAC,,19,12,.613,,,,,1994-95,38,25,.603,,,,,,38,25,.603,,,,
Paul Biancardi,Wright State,Horizon,,15,15,.500,,,,,2003-04,29,29,.500,,,,,,29,29,.500,,,,
Henry Bibby,USC,Pac-10,,2,2,.500,,,,,1995-96,132,120,.524,3,1,,,,132,120,.524,3,1,,
Eddie Biedenbach,UNC Asheville,Big South,,11,17,.393,,,,,1996-97,122,138,.469,1,,,,,151,189,.444,1,,,
Dave Bike,Sacred Heart,NEC,,4,23,.148,,,,,1999-00,42,125,.251,,,,,,42,125,.251,,,,
Jim Boeheim,Syracuse,Big East,,27,7,.794,6,11,Lost First Round,,1976-77,703,241,.745,24,13,3,1,,703,241,.745,24,13,3,1
Jim Boone,Eastern Michigan,MAC,,12,18,.400,,,,,2000-01,48,96,.333,,,,,,93,162,.365,,,,
John Brady,LSU,SEC,,20,10,.667,,,Lost First Round,,1997-98,140,102,.579,3,1,,,,229,179,.561,3,1,,
Matt Brady,Marist,MAAC,,11,17,.393,,,,,2004-05,11,17,.393,,,,,,11,17,.393,,,,
Bobby Braswell,Cal State Northridge,Big West,,18,13,.581,,,,,1996-97,143,123,.538,1,,,,,143,123,.538,1,,,
Ben Braun,California,Pac-10,,13,16,.448,,,,,1996-97,166,110,.601,4,1,,,,350,243,.590,7,2,,
Tom Brennan,Vermont,AEC,,25,7,.781,,,Lost Second Round,,1986-87,264,276,.489,3,,,,,310,334,.481,3,,,
Mike Brey,Notre Dame,Big East,,17,12,.586,20,,,,2000-01,102,56,.646,3,1,,,,201,108,.650,5,1,,
Kevin Bromley,Cal Poly,Big West,,5,22,.185,,,,,2000-01,51,76,.402,,,,,,51,76,.402,,,,
Milan Brown,Mount St. Mary's,NEC,,7,20,.259,,,,,2003-04,17,39,.304,,,,,,17,39,.304,,,,
Will Brown,Albany (NY),AEC,,13,15,.464,,,,,2001-02,32,72,.308,,,,,,32,72,.308,,,,
Brad Brownell,UNC Wilmington,CAA,,19,10,.655,,,,,2002-03,58,32,.644,1,,,,,58,32,.644,1,,,
Tim Buckley,Ball State,MAC,,15,13,.536,,,,,2000-01,83,69,.546,,,,,,83,69,.546,,,,
Mike Burns,Eastern Washington,Big Sky,,8,20,.286,,,,,2004-05,8,20,.286,,,,,,8,20,.286,,,,
Bob Burton,Cal State Fullerton,Big West,,21,11,.656,,,,,2003-04,32,28,.533,,,,,,32,28,.533,,,,
Rick Byrd,Belmont,A-Sun,,14,16,.467,,,,,1999-00,83,90,.480,,,,,,83,90,.480,,,,
Jim Calhoun,UConn,Big East,,23,8,.742,8,13,Lost Second Round,,1986-87,457,174,.724,13,10,2,2,,705,311,.694,18,10,2,2
John Calipari,Memphis,CUSA,,22,16,.579,24,,,,2000-01,115,55,.676,2,,,,,308,126,.710,7,3,1,
Dave Calloway,Monmouth,NEC,,16,13,.552,,,,,1997-98,111,107,.509,2,,,,,111,107,.509,2,,,
Bret Campbell,UT-Martin,OVC,,6,21,.222,,,,,1999-00,65,104,.385,,,,,,65,104,.385,,,,
Jeff Capel III,VCU,CAA,,19,13,.594,,,,,2002-03,60,31,.659,1,,,,,60,31,.659,1,,,
