,,,,2016-17 Season,2016-17 Season,2016-17 Season,2016-17 Season,2016-17 Season,2016-17 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Bacari Alexander,Detroit Mercy,Horizon,,8,23,.258,,,,,2016-17,8,23,.258,,,,,,8,23,.258,,,,
Casey Alexander,Lipscomb,A-Sun,,20,13,.606,,,,,2013-14,61,66,.480,,,,,,85,102,.455,,,,
Steve Alford,UCLA,Pac-12,,31,5,.861,16,8,Lost Regional Semifinal,,2013-14,96,45,.681,3,3,,,,481,251,.657,10,4,,
Jimmy Allen,Army,Patriot,,13,19,.406,,,,,2016-17,13,19,.406,,,,,,13,19,.406,,,,
Dana Altman,Oregon,Pac-12,,33,6,.846,5,9,Lost National Semifinal,,2010-11,187,70,.728,5,3,1,,,597,313,.656,13,3,1,
Tommy Amaker,Harvard,Ivy,,18,10,.643,,,,,2007-08,193,105,.648,4,,,,,369,244,.602,5,1,,
Kim Anderson,Missouri,SEC,,8,24,.250,,,,,2014-15,27,68,.284,,,,,,27,68,.284,,,,
Mike Anderson Sr,Arkansas,SEC,,26,10,.722,,,Lost Second Round,,2011-12,128,74,.634,2,,,,,328,172,.656,8,2,,
Orlando Antigua,South Florida,AAC,,6,7,.462,,,,,2014-15,23,55,.295,,,,,,23,55,.295,,,,
Kevin Baggett,Rider,MAAC,,18,15,.545,,,,,2012-13,85,79,.518,,,,,,85,79,.518,,,,
Roman Banks,Southern,SWAC,,15,18,.455,,,,,2011-12,114,85,.573,2,,,,,114,85,.573,2,,,
Rick Barnes,Tennessee,SEC,,16,16,.500,,,,,2015-16,31,35,.470,,,,,,635,349,.645,22,6,1,
Rod Barnes,Cal State Bakersfield,WAC,,25,10,.714,,,,,2011-12,106,88,.546,1,,,,,292,277,.513,4,1,,
Murry Bartow,South Florida,AAC,,1,16,.059,,,,,2016-17,1,16,.059,,,,,,328,264,.554,4,,,
Duggar Baucom,The Citadel,Southern,,12,21,.364,,,,,2015-16,22,43,.338,,,,,,173,202,.461,,,,
Chris Beard,Texas Tech,Big 12,,18,14,.562,,,,,2016-17,18,14,.562,,,,,,48,19,.716,1,,,
John Becker,Vermont,AEC,,29,6,.829,,,Lost First Round,,2011-12,139,69,.668,2,,,,,139,69,.668,2,,,
John Beilein,Michigan,Big Ten,,26,12,.684,,23,Lost Regional Semifinal,,2007-08,215,135,.614,7,3,1,,,508,310,.621,11,5,1,
Tony Benford,North Texas,CUSA,,8,22,.267,,,,,2012-13,62,95,.395,,,,,,62,95,.395,,,,
Randy Bennett,Saint Mary's,WCC,,29,5,.853,17,22,Lost Second Round,,2001-02,362,156,.699,6,1,,,,362,156,.699,6,1,,
Tony Bennett,Virginia,ACC,,23,11,.676,8,24,Lost Second Round,,2009-10,188,83,.694,5,2,,,,257,116,.689,7,3,,
Rodney Billups,Denver,Summit,,16,14,.533,,,,,2016-17,16,14,.533,,,,,,16,14,.533,,,,
Jeff Boals,Stony Brook,AEC,,18,14,.562,,,,,2016-17,18,14,.562,,,,,,18,14,.562,,,,
Jim Boeheim *,Syracuse,ACC,,19,15,.559,19,,,,1976-77,1004,357,.738,32,18,5,1,,1004,357,.738,32,18,5,1
Tad Boyle,Colorado,Pac-12,,19,15,.559,,,,,2010-11,149,95,.611,4,,,,,205,161,.560,4,,,
Todd Bozeman *,Morgan State,MEAC,,14,16,.467,,,,,2006-07,173,178,.493,2,,,,,236,213,.526,5,1,,
Glenn Braica,St. Francis (NY),NEC,,4,27,.129,,,,,2010-11,102,118,.464,,,,,,102,118,.464,,,,
John Brannen,Northern Kentucky,Horizon,,24,11,.686,,,Lost First Round,,2015-16,33,32,.508,1,,,,,34,33,.507,1,,,
Mike Brennan,American,Patriot,,8,22,.267,,,,,2013-14,57,70,.449,1,,,,,57,70,.449,1,,,
Wayne Brent,Jackson State,SWAC,,14,18,.438,,,,,2013-14,56,75,.427,,,,,,56,75,.427,,,,
Mike Brey,Notre Dame,ACC,,26,10,.722,,14,Lost Second Round,,2000-01,382,187,.671,12,3,,,,481,239,.668,14,3,,
Horace Broadnax *,Savannah State,MEAC,,13,16,.448,,,,,2005-06,156,211,.425,,,,,,198,299,.398,,,,
Will Brown,Albany (NY),AEC,,21,14,.600,,,,,2001-02,260,238,.522,5,,,,,260,238,.522,5,,,
Brad Brownell,Clemson,ACC,,17,16,.515,,,,,2010-11,124,103,.546,1,,,,,291,188,.608,4,,,
Ken Burmeister,Incarnate Word,Southland,,12,17,.414,,,,,2013-14,68,46,.596,,,,,,180,161,.528,1,,,
Mark Byington,Georgia Southern,Sun Belt,,18,15,.545,,,,,2013-14,69,60,.535,,,,,,69,60,.535,,,,
Rick Byrd,Belmont,OVC,,23,7,.767,,,,,1999-00,364,205,.640,7,,,,,364,205,.640,7,,,
John Calipari *,Kentucky,SEC,,32,6,.842,2,5,Lost Regional Final,,2009-10,249,53,.825,7,6,4,1,,694,193,.782,18,13,6,1
