,,,,2009-10 Season,2009-10 Season,2009-10 Season,2009-10 Season,2009-10 Season,2009-10 Season,,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,Career at Current School,,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall,Career Overall
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Mike Adras,Northern Arizona,Big Sky,,14,14,.500,,,,,1999-00,172,150,.534,1,,,,,172,150,.534,1,,,
Jesse Agel,Brown,Ivy,,11,20,.355,,,,,2008-09,20,39,.339,,,,,,20,39,.339,,,,
Steve Alford,New Mexico,MWC,,30,5,.857,,8,Lost Second Round,,2007-08,76,26,.745,1,,,,,306,180,.630,5,1,,
Frankie Allen,Maryland-Eastern Shore,MEAC,,11,21,.344,,,,,2008-09,18,44,.290,,,,,,241,338,.416,2,,,
Jerome Allen,Penn,Ivy,,6,15,.286,,,,,2009-10,6,15,.286,,,,,,6,15,.286,,,,
Dana Altman,Creighton,MVC,,18,16,.529,,,,,1994-95,327,176,.650,7,,,,,410,243,.628,8,,,
Tommy Amaker,Harvard,Ivy,,21,8,.724,,,,,2007-08,43,44,.494,,,,,,219,183,.545,1,1,,
Mike Anderson Sr,Missouri,Big 12,,23,11,.676,,,Lost Second Round,,2006-07,88,46,.657,2,1,,,,177,87,.670,5,2,,
Tevester Anderson,Jackson State,SWAC,,19,13,.594,,,,,2003-04,114,113,.502,1,,,,,217,165,.568,3,,,
Ronnie Arrow,South Alabama,Sun Belt,,17,15,.531,,,,,1987-88,177,128,.580,3,,,,,272,177,.606,4,,,
Tom Asbury,Pepperdine,WCC,,7,24,.226,,,,,1988-89,141,106,.571,3,,,,,226,194,.538,4,,,
Dave Balza,Florida Gulf Coast,A-Sun,,8,21,.276,,,,,2007-08,29,62,.319,,,,,,29,62,.319,,,,
Tony Barbee,UTEP,CUSA,,26,7,.788,,,Lost First Round,,2006-07,82,52,.612,1,,,,,82,52,.612,1,,,
Rick Barnes,Texas,Big 12,,24,10,.706,3,,Lost First Round,,1998-99,294,115,.719,12,5,1,,,496,249,.666,18,6,1,
